,Generation id,Number of archives,Initial population time,Evaluation process time,Distance calculation time,Whole process time
0,0,1,0:42:43.876289,0:28:36.625031,0:00:03.087017,1:11:23.588337
1,1,2,0:00:00.006000,0:16:13.361142,0:00:31.965478,0:16:45.332620
12,2,2,0:00:00.009002,0:23:37.926394,0:01:02.260150,0:24:40.195546
23,3,2,0:00:00.008997,0:20:50.251006,0:01:02.086196,0:21:52.346199
34,4,3,0:00:00.009000,0:20:37.007584,0:01:01.722488,0:21:38.739072
40,5,3,0:00:00.006000,0:17:49.788641,0:01:29.451649,0:19:19.246290
41,6,4,0:00:00.005999,0:18:26.292951,0:01:36.485529,0:20:02.784479
42,7,4,0:00:00.007003,0:18:43.161290,0:01:56.832003,0:20:40.000296
43,8,4,0:00:00.006000,0:20:16.825181,0:01:57.877421,0:22:14.708602
44,9,4,0:00:00.008999,0:25:50.902053,0:01:58.930995,0:27:49.842047
2,10,5,0:00:00.007002,0:23:14.650006,0:02:03.398063,0:25:18.055071
3,11,5,0:00:00.010000,0:41:48.875899,0:02:29.276650,0:44:18.162549
4,12,5,0:00:00.007003,0:26:01.815854,0:02:33.133981,0:28:34.956838
5,13,5,0:00:00.007000,0:20:44.475616,0:02:28.065605,0:23:12.548221
6,14,5,0:00:00.006000,0:18:22.251566,0:02:22.645516,0:20:44.903082
7,15,5,0:00:00.005999,0:20:29.896827,0:02:26.006152,0:22:55.908978
8,16,5,0:00:00.007000,0:20:48.428484,0:02:24.876239,0:23:13.311723
9,17,6,0:00:00.006000,0:18:20.173035,0:02:21.601071,0:20:41.780106
10,18,6,0:00:00.008000,0:28:59.858899,0:02:44.976571,0:31:44.843470
11,19,6,0:00:00.006999,0:23:36.984792,0:02:45.882449,0:26:22.874240
13,20,6,0:00:00.009999,0:25:50.972383,0:02:49.906625,0:28:40.889007
14,21,6,0:00:00.006000,0:18:03.859547,0:02:52.619275,0:20:56.484822
15,22,6,0:00:00.006001,0:16:48.429625,0:02:44.375986,0:19:32.811612
16,23,6,0:00:00.006000,0:16:47.695894,0:02:39.414399,0:19:27.116293
17,24,6,0:00:00.004999,0:14:26.433793,0:02:38.224215,0:17:04.663007
18,25,6,0:00:00.004998,0:14:36.764552,0:02:36.836161,0:17:13.605711
19,26,6,0:00:00.006000,0:14:35.248652,0:02:37.286643,0:17:12.541295
20,27,6,0:00:00.005000,0:14:26.573121,0:02:36.987807,0:17:03.565928
21,28,6,0:00:00.005000,0:14:26.025403,0:02:38.572396,0:17:04.602799
22,29,6,0:00:00.005002,0:14:26.331708,0:02:38.896766,0:17:05.233476
24,30,7,0:00:00.005000,0:13:55.584768,0:02:41.766465,0:16:37.356233
25,31,7,0:00:00.005999,0:24:21.131129,0:03:07.885277,0:27:29.022405
26,32,8,0:00:00.006000,0:16:34.823889,0:03:12.646382,0:19:47.476271
27,33,8,0:00:00.009000,0:42:00.830041,0:03:42.094672,0:45:42.933713
28,34,8,0:00:00.008999,0:32:12.971293,0:03:45.217408,0:35:58.197700
29,35,8,0:00:00.008991,0:26:30.599055,0:03:46.370757,0:30:16.978803
30,36,8,0:00:00.005999,0:21:06.278118,0:03:45.396906,0:24:51.681023
31,37,8,0:00:00.006999,0:18:19.994225,0:03:43.649579,0:22:03.650803
32,38,8,0:00:00.006000,0:21:01.354930,0:03:49.520015,0:24:50.880945
33,39,8,0:00:00.007003,0:17:58.640788,0:03:43.261203,0:21:41.908994
35,40,8,0:00:00.006000,0:17:53.772326,0:03:42.206122,0:21:35.984448
36,41,9,0:00:00.006999,0:17:42.509029,0:03:49.061325,0:21:31.577353
37,42,9,0:00:00.011001,0:31:02.422513,0:04:23.024063,0:35:25.457577
38,43,9,0:00:00.007000,0:25:55.284716,0:04:24.463631,0:30:19.755347
39,44,9,0:00:00.007000,0:16:33.708034,0:04:07.389977,0:20:41.105011
